sample,label
./task1/train_data/images/unlabeled/2.jpeg,32
./task1/train_data/images/unlabeled/3.jpeg,90
./task1/train_data/images/unlabeled/5.jpeg,91
./task1/train_data/images/unlabeled/6.jpeg,38
./task1/train_data/images/unlabeled/7.jpeg,31
./task1/train_data/images/unlabeled/9.jpeg,51
./task1/train_data/images/unlabeled/10.jpeg,28
./task1/train_data/images/unlabeled/12.jpeg,77
./task1/train_data/images/unlabeled/13.jpeg,24
./task1/train_data/images/unlabeled/14.jpeg,72
./task1/train_data/images/unlabeled/15.jpeg,47
./task1/train_data/images/unlabeled/17.jpeg,68
./task1/train_data/images/unlabeled/18.jpeg,34
./task1/train_data/images/unlabeled/19.jpeg,79
./task1/train_data/images/unlabeled/20.jpeg,94
./task1/train_data/images/unlabeled/23.jpeg,81
./task1/train_data/images/unlabeled/24.jpeg,51
./task1/train_data/images/unlabeled/25.jpeg,86
./task1/train_data/images/unlabeled/26.jpeg,34
./task1/train_data/images/unlabeled/28.jpeg,45
./task1/train_data/images/unlabeled/29.jpeg,35
./task1/train_data/images/unlabeled/30.jpeg,64
./task1/train_data/images/unlabeled/32.jpeg,50
./task1/train_data/images/unlabeled/34.jpeg,17
./task1/train_data/images/unlabeled/35.jpeg,98
./task1/train_data/images/unlabeled/36.jpeg,48
./task1/train_data/images/unlabeled/37.jpeg,90
./task1/train_data/images/unlabeled/38.jpeg,81
./task1/train_data/images/unlabeled/39.jpeg,24
./task1/train_data/images/unlabeled/40.jpeg,65
./task1/train_data/images/unlabeled/42.jpeg,57
./task1/train_data/images/unlabeled/43.jpeg,41
./task1/train_data/images/unlabeled/44.jpeg,64
./task1/train_data/images/unlabeled/45.jpeg,36
./task1/train_data/images/unlabeled/46.jpeg,23
./task1/train_data/images/unlabeled/48.jpeg,19
./task1/train_data/images/unlabeled/50.jpeg,5
./task1/train_data/images/unlabeled/53.jpeg,0
./task1/train_data/images/unlabeled/54.jpeg,7
./task1/train_data/images/unlabeled/56.jpeg,41
./task1/train_data/images/unlabeled/59.jpeg,68
./task1/train_data/images/unlabeled/61.jpeg,69
./task1/train_data/images/unlabeled/62.jpeg,64
./task1/train_data/images/unlabeled/63.jpeg,63
./task1/train_data/images/unlabeled/64.jpeg,57
./task1/train_data/images/unlabeled/67.jpeg,23
./task1/train_data/images/unlabeled/69.jpeg,50
./task1/train_data/images/unlabeled/70.jpeg,28
./task1/train_data/images/unlabeled/72.jpeg,5
./task1/train_data/images/unlabeled/73.jpeg,47
./task1/train_data/images/unlabeled/74.jpeg,55
./task1/train_data/images/unlabeled/75.jpeg,10
./task1/train_data/images/unlabeled/77.jpeg,40
./task1/train_data/images/unlabeled/78.jpeg,88
./task1/train_data/images/unlabeled/79.jpeg,57
./task1/train_data/images/unlabeled/80.jpeg,27
./task1/train_data/images/unlabeled/81.jpeg,29
./task1/train_data/images/unlabeled/82.jpeg,42
./task1/train_data/images/unlabeled/83.jpeg,47
./task1/train_data/images/unlabeled/84.jpeg,74
./task1/train_data/images/unlabeled/86.jpeg,71
./task1/train_data/images/unlabeled/87.jpeg,18
./task1/train_data/images/unlabeled/89.jpeg,1
./task1/train_data/images/unlabeled/90.jpeg,34
./task1/train_data/images/unlabeled/93.jpeg,16
./task1/train_data/images/unlabeled/94.jpeg,78
./task1/train_data/images/unlabeled/95.jpeg,40
./task1/train_data/images/unlabeled/96.jpeg,50
./task1/train_data/images/unlabeled/97.jpeg,60
./task1/train_data/images/unlabeled/98.jpeg,46
./task1/train_data/images/unlabeled/103.jpeg,63
./task1/train_data/images/unlabeled/104.jpeg,99
./task1/train_data/images/unlabeled/105.jpeg,46
./task1/train_data/images/unlabeled/106.jpeg,93
./task1/train_data/images/unlabeled/107.jpeg,77
./task1/train_data/images/unlabeled/108.jpeg,33
./task1/train_data/images/unlabeled/109.jpeg,57
./task1/train_data/images/unlabeled/110.jpeg,15
./task1/train_data/images/unlabeled/111.jpeg,53
./task1/train_data/images/unlabeled/112.jpeg,48
./task1/train_data/images/unlabeled/113.jpeg,31
./task1/train_data/images/unlabeled/114.jpeg,61
./task1/train_data/images/unlabeled/115.jpeg,60
./task1/train_data/images/unlabeled/116.jpeg,72
./task1/train_data/images/unlabeled/117.jpeg,70
./task1/train_data/images/unlabeled/119.jpeg,85
./task1/train_data/images/unlabeled/121.jpeg,91
./task1/train_data/images/unlabeled/123.jpeg,55
./task1/train_data/images/unlabeled/124.jpeg,1
./task1/train_data/images/unlabeled/125.jpeg,38
./task1/train_data/images/unlabeled/126.jpeg,76
./task1/train_data/images/unlabeled/127.jpeg,40
./task1/train_data/images/unlabeled/128.jpeg,47
./task1/train_data/images/unlabeled/130.jpeg,45
./task1/train_data/images/unlabeled/131.jpeg,15
./task1/train_data/images/unlabeled/133.jpeg,88
./task1/train_data/images/unlabeled/135.jpeg,42
./task1/train_data/images/unlabeled/136.jpeg,30
./task1/train_data/images/unlabeled/137.jpeg,7
./task1/train_data/images/unlabeled/138.jpeg,30
./task1/train_data/images/unlabeled/139.jpeg,68
./task1/train_data/images/unlabeled/140.jpeg,11
./task1/train_data/images/unlabeled/141.jpeg,39
./task1/train_data/images/unlabeled/143.jpeg,13
./task1/train_data/images/unlabeled/146.jpeg,45
./task1/train_data/images/unlabeled/147.jpeg,58
./task1/train_data/images/unlabeled/148.jpeg,3
./task1/train_data/images/unlabeled/149.jpeg,43
./task1/train_data/images/unlabeled/150.jpeg,4
./task1/train_data/images/unlabeled/152.jpeg,66
./task1/train_data/images/unlabeled/153.jpeg,61
./task1/train_data/images/unlabeled/154.jpeg,23
./task1/train_data/images/unlabeled/155.jpeg,77
./task1/train_data/images/unlabeled/156.jpeg,9
./task1/train_data/images/unlabeled/158.jpeg,24
./task1/train_data/images/unlabeled/159.jpeg,92
./task1/train_data/images/unlabeled/160.jpeg,49
./task1/train_data/images/unlabeled/162.jpeg,10
./task1/train_data/images/unlabeled/163.jpeg,59
./task1/train_data/images/unlabeled/164.jpeg,61
./task1/train_data/images/unlabeled/165.jpeg,2
./task1/train_data/images/unlabeled/166.jpeg,34
./task1/train_data/images/unlabeled/167.jpeg,65
./task1/train_data/images/unlabeled/168.jpeg,86
./task1/train_data/images/unlabeled/169.jpeg,6
./task1/train_data/images/unlabeled/171.jpeg,21
./task1/train_data/images/unlabeled/176.jpeg,79
./task1/train_data/images/unlabeled/178.jpeg,76
./task1/train_data/images/unlabeled/181.jpeg,11
./task1/train_data/images/unlabeled/182.jpeg,98
./task1/train_data/images/unlabeled/183.jpeg,52
./task1/train_data/images/unlabeled/184.jpeg,50
./task1/train_data/images/unlabeled/185.jpeg,40
./task1/train_data/images/unlabeled/186.jpeg,24
./task1/train_data/images/unlabeled/187.jpeg,15
./task1/train_data/images/unlabeled/188.jpeg,10
./task1/train_data/images/unlabeled/189.jpeg,17
./task1/train_data/images/unlabeled/190.jpeg,7
./task1/train_data/images/unlabeled/191.jpeg,59
./task1/train_data/images/unlabeled/193.jpeg,24
./task1/train_data/images/unlabeled/194.jpeg,54
./task1/train_data/images/unlabeled/195.jpeg,58
